module,enabled,composer_version,installation_mode
RDi_Deletereport,Yes,N/A,app/code
WeltPixel_Sitemap,Yes,1.10.15,app/code
WeltPixel_GoogleTagManager,Yes,1.10.15,app/code
WeltPixel_GA4,Yes,1.12.5,app/code
WeltPixel_RecentlyViewedBar,No,1.10.15,app/code
WeltPixel_CmsBlockScheduler,Yes,1.10.15,app/code
WeltPixel_TitleRewrite,Yes,1.10.15,app/code
WeltPixel_LazyLoading,Yes,1.10.15,app/code
WeltPixel_SocialLogin,No,1.10.15,app/code
WeltPixel_Quickview,Yes,1.10.15,app/code
WeltPixel_SpeedOptimization,No,1.10.15,app/code
WeltPixel_QuickCart,Yes,1.10.15,app/code
WeltPixel_LayeredNavigation,Yes,1.10.15,app/code
WeltPixel_EnhancedEmail,Yes,1.10.15,app/code
WeltPixel_Newsletter,Yes,1.10.15,app/code
WeltPixel_CustomHeader,Yes,1.10.15,app/code
WeltPixel_CategoryPage,Yes,1.10.15,app/code
WeltPixel_Command,Yes,1.10.15,app/code
WeltPixel_ProductLabels,Yes,1.10.15,app/code
WeltPixel_SmartProductTabs,No,1.10.15,app/code
WeltPixel_ThankYouPage,Yes,1.10.15,app/code
WeltPixel_AdvanceCategorySorting,Yes,1.10.15,app/code
WeltPixel_ProductPage,Yes,1.10.15,app/code
WeltPixel_UserProfile,No,1.10.15,app/code
WeltPixel_SampleData,Yes,1.10.15,app/code
WeltPixel_NavigationLinks,Yes,1.10.15,app/code
WeltPixel_OwlCarouselSlider,Yes,1.10.15,app/code
WeltPixel_FullPageScroll,Yes,1.10.15,app/code
WeltPixel_InstagramWidget,No,1.10.15,app/code
WeltPixel_SearchAutoComplete,Yes,1.10.15,app/code
WeltPixel_ReviewsWidget,Yes,1.10.15,app/code
WeltPixel_DesignElements,Yes,1.10.15,app/code
WeltPixel_CustomFooter,Yes,1.10.15,app/code
WeltPixel_GoogleCards,Yes,1.11.11,app/code
WeltPixel_FrontendOptions,Yes,1.10.15,app/code
WeltPixel_Backend,Yes,1.11.15,app/code
WeltPixel_AjaxInfiniteScroll,No,1.10.15,app/code
WeltPixel_Multistore,Yes,1.10.15,app/code
WeltPixel_AdvancedWishlist,No,1.10.15,app/code
WeltPixel_MobileDetect,Yes,1.10.15,app/code
Ess_M2ePro,Yes,1.58.2,app/code
WeSupply_Toolbox,No,1.12.6,app/code
WSW_DetailProduct,Yes,N/A,app/code
WSW_ManufacturerInBrand,Yes,N/A,app/code
WSW_AmastyXsearchCleaner,Yes,N/A,app/code
WSW_ProductAlert,Yes,N/A,app/code
WSW_Core,Yes,1,app/code
WSW_Breadcrumbs,Yes,N/A,app/code
WSW_PatchWPGA4,Yes,N/A,app/code
WSW_RDiMapping,No,N/A,app/code
WSW_ImagesFix,Yes,N/A,app/code
WSW_AutoBackorderStatus,Yes,N/A,app/code
WSW_RecaptchaPayments,Yes,N/A,app/code
Pronko_ModuleBase,Yes,3.0.0,app/code
Pronko_Bing,Yes,1.2.0,app/code
Ampersand_DisableStockReservation,Yes,N/A,app/code
Meetanshi_Extensions,Yes,1.0.0,app/code
Meetanshi_GuestToCustomer,Yes,1.0.6,app/code
WebShopApps_MatrixRate,No,N/A,app/code
